Version;ID;Gender;Age;Education;Nationality;Residence;Income;Clothes;JeansFreq;JeansPay;ConcernEnv;ConcernSwt;Skepticism;Question;Price1;Origin1;Fiber1;Wash1;Dry1;Env1;Labor1;EnvLabor1;Price2;Origin2;Fiber2;Wash2;Dry2;Env2;Labor2;EnvLabor2;Choice
1;1;1;34;5;1;1;65000;70;0;95;6.666666667;6.6;4.5;1;60;0;1;1;1;3;1;4;40;0;0;1;0;1;4;5;3
1;1;1;34;5;1;1;65000;70;0;95;6.666666667;6.6;4.5;2;30;1;1;1;1;2;1;3;50;0;0;0;1;2;2;4;3
1;1;1;34;5;1;1;65000;70;0;95;6.666666667;6.6;4.5;3;50;0;0;0;1;2;2;4;60;1;1;0;0;1;3;4;3
1;1;1;34;5;1;1;65000;70;0;95;6.666666667;6.6;4.5;4;30;0;1;0;0;4;3;7;40;1;0;0;1;3;2;5;3
1;1;1;34;5;1;1;65000;70;0;95;6.666666667;6.6;4.5;5;50;1;0;1;0;4;4;8;30;1;1;0;0;3;2;5;1
1;1;1;34;5;1;1;65000;70;0;95;6.666666667;6.6;4.5;6;60;0;1;0;0;2;2;4;30;0;0;0;0;1;1;2;3
1;1;1;34;5;1;1;65000;70;0;95;6.666666667;6.6;4.5;7;30;1;0;0;0;2;4;6;50;0;1;1;0;2;3;5;3
1;1;1;34;5;1;1;65000;70;0;95;6.666666667;6.6;4.5;8;60;0;0;0;0;3;4;7;50;0;0;1;0;3;1;4;1
1;1;1;34;5;1;1;65000;70;0;95;6.666666667;6.6;4.5;9;30;0;0;1;1;4;2;6;40;1;1;1;0;3;3;6;3
1;1;1;34;5;1;1;65000;70;0;95;6.666666667;6.6;4.5;10;40;1;1;1;0;3;3;6;60;1;0;0;0;4;1;5;3
1;1;1;34;5;1;1;65000;70;0;95;6.666666667;6.6;4.5;11;40;0;1;0;1;1;1;2;40;1;0;1;0;2;1;3;3
